,url,cast,crew,Domestic Share:,Legs:,Production Budget:,Domestic Releases:,International Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Production Countries:,Languages:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Seven-Brides-for-Seven-Brothers,[],"[['Stanley Donen', 'Director']]",99.7% (domestic box office/worldwide),,,"January 1st, 1954 (Wide)","December 24th, 1972 (Limited) (South Korea)
","December 13th, 2005 by Warner Home Video",G Rating is for 1971 Re-Issue of film from MGM Film Company,102 minutes,vs. Singin' in the RainCreate your own comparison chart…,United States,English,,,,,,,"$5,000,000","$13,672","$5,013,672",,
1,https://www.the-numbers.com/movie/White-Christmas,"['Dean Jagger', 'Bing Crosby', 'Danny Kaye', 'Rosemary Clooney', 'Vera Ellen']","[['Michael Curtiz', 'Director'], ['Norman Krasna', 'Screenwriter'], ['Norman Panama', 'Screenwriter'], ['Melvin Frank', 'Screenwriter'], ['Robert Dolan', 'Producer'], ['Irving Berlin', 'Composer'], ['Irving Berlin', 'Song Writer']]",100.0% (domestic box office/worldwide),,,"April 27th, 1954 (Wide) by Paramount Pictures","December 4th, 2020 (Limited) (Australia)
","November 2nd, 2010 by Paramount Home Video",Not Rated,120 minutes,vs. Rear WindowCreate your own comparison chart…,United States,English,"Christmas, Christmas in November, World War II, Prologue, Romance, Dancing, Performing Arts",Original Screenplay,Musical,Live Action,Contemporary Fiction,Paramount Pictures,"$30,000,000","$1,212","$30,001,212",,
2,https://www.the-numbers.com/movie/Dial-M-for-Murder-(1954),"['Robert Cummings', 'John Williams', 'Anthony Dawson', 'Ray Milland', 'Grace Kelly']","[['Alfred Hitchcock', 'Director'], ['Frederick Knott', 'Screenwriter'], ['Frederick Knott', 'Story Creator']]",100.0% (domestic box office/worldwide),477.63 (domestic box office/biggest weekend),,"May 29th, 1954 (Wide), released as Dial M for Murder (1954)April 9th, 1999 (Wide)","June 11th, 2021 (Wide) (New Zealand)
","June 18th, 1996 by Warner Home Video",PG,105 minutes,vs. Sixteen CandlesCreate your own comparison chart…,United States,English,"Crime Thriller, Novel or Other Work Adapted by Author, Relationships Gone Wrong, Infidelity, Blackmail, Killing in Self Defence, Wrongfully Convicted, Death Row, Police Detective",Based on Play,Thriller/Suspense,Live Action,Contemporary Fiction,,"$6,000,000",$108,"$6,000,108",,
3,https://www.the-numbers.com/movie/Demetrius-and-the-Gladiators,[],[],100.0% (domestic box office/worldwide),,,"June 18th, 1954 (Wide)","February 18th, 1977 (Wide) (South Korea)
",,Not Rated Approved,101 minutes,vs. Quo Vadis?Create your own comparison chart…,United States,English,,,,,,,"$26,000,000","$12,630","$26,012,630",,
4,https://www.the-numbers.com/movie/Caine-Mutiny-The,"['Humphrey Bogart', 'José Ferrer', 'Van Johnson', 'Fred MacMurray']","[['Edward Dmytryk', 'Director']]",100.0% (domestic box office/worldwide),,,"June 24th, 1954 (Wide) by Sony Pictures",,,Not Rated,124 minutes,vs. White ChristmasCreate your own comparison chart…,United States,English,Courtroom Drama,Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,,"$21,800,000",,,,
5,https://www.the-numbers.com/movie/High-and-the-Mighty-The,[],[],100.0% (domestic box office/worldwide),,,"July 3rd, 1954 (Wide)",,,Not Rated,147 minutes,Create your own comparison chart…,United States,English,,,,,,,"$10,400,000",,,,
6,https://www.the-numbers.com/movie/Apache,"['Ian MacDonald', 'Charles Bronson', 'John Dehner', 'Paul Guilfoyle', 'Walter Sande', 'John McIntire', 'Burt Lancaster']","[['Robert Aldrich', 'Director']]",100.0% (domestic box office/worldwide),,,"July 9th, 1954 (Wide) by United Artists",,"December 1st, 2020 by Kino Lorber",Not Rated,87 minutes,Create your own comparison chart…,United States,English,,Based on Fiction Book/Short Story,Western,Live Action,Historical Fiction,,"$6,000,000",,,,
7,https://www.the-numbers.com/movie/Garden-of-Evil,[],[],100.0% (domestic box office/worldwide),,,"July 9th, 1954 (Wide)",,,Not Rated,70 minutes,Create your own comparison chart…,United States,English,,,,,,,"$7,000,000",,,,
8,https://www.the-numbers.com/movie/On-the-Waterfront,[],"[['Elia Kazan', 'Director'], ['Budd Schulberg', 'Screenwriter']]",100.0% (domestic box office/worldwide),,"$910,000 (worldwide box office is 10.5 times production budget)","July 28th, 1954 (Wide)",,"February 25th, 2013 by Criterion",Not Rated,108 minutes,vs. RockyCreate your own comparison chart…,United States,English,"Mafia, Boxing, Throwing a Fight / Match, Crime Drama, Crime, Unions, Witness Tampering, Death of a Sibling, Romance, Relationships Gone Wrong, Pastor",Original Screenplay,Drama,Live Action,Contemporary Fiction,,"$9,600,000",,,,
9,https://www.the-numbers.com/movie/Egyptian-The,[],"[['Michael Curtiz', 'Director']]",100.0% (domestic box office/worldwide),,"$5,000,000 (worldwide box office is 3.0 times production budget)","August 24th, 1954 (Wide)",,,Not Rated Approved,136 minutes,vs. On the Basis of SexCreate your own comparison chart…,United States,English,,,,,,,"$15,000,000",,,,
10,https://www.the-numbers.com/movie/Rear-Window,[],"[['Alfred Hitchcock', 'Director'], ['John Michael Hayes', 'Screenwriter']]",99.9% (domestic box office/worldwide),71.47 (domestic box office/biggest weekend),,"September 1st, 1954 (Wide) by USA FilmsSeptember 30th, 1983 (Limited) by USA Films","November 10th, 2000 (Wide), released as Rear Window (re:00) (Australia)
October 15th, 2020 (Wide) (New Zealand)
February 23rd, 2023 (Special Engagement), released as A Janela Indiscreta (Portugal)
","September 4th, 2012 by Universal Home Entertainment","PG Rating is for 1983 Re-Issue of film from Universal City Studios, Inc.",112 minutes,vs. Ben-HurCreate your own comparison chart…,United States,English,"Crime Thriller, Murder Mystery, Wheelchair User, Director Cameo, Relationships Gone Wrong, Death of a Spouse or Fiancée / Fiancé, Domestic Abuse, Mariticide / Uxoricide",Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,,"$27,559,601","$33,188","$27,592,789","$571,369","$571,369"
11,https://www.the-numbers.com/movie/Desiree,[],[],100.0% (domestic box office/worldwide),,,"November 17th, 1954 (Limited)",,,Not Rated,110 minutes,Create your own comparison chart…,United States,"English, Swedish",,,,,,,"$9,000,000",,,,
12,https://www.the-numbers.com/movie/Theres-No-Business-Like-Show-Business,[],[],100.0% (domestic box office/worldwide),,,"December 16th, 1954 (Wide) by 20th Century Fox",,,Not Rated Approved,117 minutes,Create your own comparison chart…,United States,"English, French, German","Performing Arts, Intertitle, Musicians, Voiceover/Narration, Great Depression, Dancing, Religious, Relationships Gone Wrong, Big Break, Addiction, Coming of Age, Letting Go, Empty Nest, Broadway",Original Screenplay,Musical,Live Action,Historical Fiction,,"$5,000,000",,,,
13,https://www.the-numbers.com/movie/20000-Leagues-Under-the-Sea-(1954),"['Kirk Douglas', 'James Mason', 'Paul Lukas', 'Peter Lorre']","[['Richard Fleischer', 'Director'], ['Earl Fenton', 'Screenwriter'], ['Jules Verne', 'Story Creator'], ['Elmo Williams', 'Editor'], ['Paul J. Smith', 'Composer'], ['Franz Planer', 'Director of Photography']]",100.0% (domestic box office/worldwide),,"$5,000,000 (worldwide box office is 5.6 times production budget)","December 23rd, 1954 (Wide) by Walt Disney",,"March 4th, 1997 by Walt Disney Home Entertainment, released as 20,000 Leagues Under the Sea ",G Rating is for 1970 Re-Issue of film from Walt Disney Productions/Buena Vista Dist. Co.,127 minutes,vs. White ChristmasCreate your own comparison chart…,United States,English,,Based on Fiction Book/Short Story,Adventure,Live Action,,,"$28,200,000",,,,
14,https://www.the-numbers.com/movie/Vera-Cruz,[],[],99.8% (domestic box office/worldwide),,,"December 25th, 1954 (Wide)","February 13th, 1971 (Wide) (South Korea)
",,Not Rated Approved,94 minutes,Create your own comparison chart…,United States,"English, Spanish",,Original Screenplay,Western,Live Action,Historical Fiction,,"$9,000,000","$20,061","$9,020,061",,
